open,close,high,low,value,quantity,end
57.32,57.32,57.32,57.32,105468.79999999997,1840,2022-02-01 06:59:59
57.34,57.68,57.86,57.34,37214249.40000001,644880,2022-02-01 07:59:59
57.64,57.48,57.78,57.26,22558332.2,392240,2022-02-01 08:59:59
57.46,57.48,57.54,57.26,42846632.800000004,747610,2022-02-01 09:59:59
57.48,57.08,57.6,56.82,116607110.00000003,2038470,2022-02-01 10:59:59
57.12,57.16,57.44,57.08,41091426.40000001,717890,2022-02-01 11:59:59
57.1,56.78,57.16,56.68,46673839.599999994,820960,2022-02-01 12:59:59
56.74,56.46,56.84,56.32,51004696.99999999,900820,2022-02-01 13:59:59
56.4,56.72,56.76,56.38,30667330.200000007,542680,2022-02-01 14:59:59
56.74,56.68,56.94,56.62,30980705.79999999,545550,2022-02-01 15:59:59
56.7,57.06,57.08,56.64,33669862.0,591810,2022-02-01 16:59:59
57.08,57.3,57.48,56.9,45952964.19999999,802900,2022-02-01 17:59:59
57.26,57.24,57.38,56.8,32382932.000000007,566910,2022-02-01 18:48:08
57.24,56.8,57.3,56.68,19994491.599999998,350790,2022-02-01 19:59:59
56.8,57.0,57.06,56.7,13911195.6,244810,2022-02-01 20:59:59
57.0,56.94,57.0,56.68,13125952.800000006,231000,2022-02-01 21:59:59
56.9,57.0,57.0,56.78,5673142.199999999,99710,2022-02-01 22:59:59
57.0,57.12,57.22,56.96,12330355.399999999,215770,2022-02-01 23:59:53
57.0,57.0,57.0,57.0,100320.0,1760,2022-02-02 06:59:59
56.98,57.22,57.52,56.98,25726994.4,448240,2022-02-02 07:59:59
57.26,57.64,57.68,57.18,33576947.4,584010,2022-02-02 08:59:59
57.6,57.96,58.04,57.5,51838582.39999999,896120,2022-02-02 09:59:59
57.9,58.0,58.48,57.86,152679110.39999995,2628270,2022-02-02 10:59:59
58.0,57.88,58.22,57.64,100032311.60000002,1727250,2022-02-02 11:59:59
57.84,57.32,57.88,57.28,37383488.000000015,649020,2022-02-02 12:59:59
57.28,57.32,57.34,56.7,103088774.60000001,1805390,2022-02-02 13:59:59
57.34,57.12,57.46,57.1,40065643.599999994,699330,2022-02-02 14:59:59
