open,close,high,low,value,quantity,end
0.2009,0.2009,0.2009,0.2009,249116.0,1240000,2020-01-03 09:59:59
0.20068,0.20492,0.20578,0.20068,92875536.00000003,455810000,2020-01-03 10:59:59
0.20492,0.20458,0.20498,0.20426,43662238.40000001,213350000,2020-01-03 11:59:59
0.2046,0.20472,0.20486,0.20414,18295149.799999997,89440000,2020-01-03 12:59:59
0.20464,0.205,0.205,0.2046,23970264.200000003,116970000,2020-01-03 13:59:59
0.20496,0.20498,0.205,0.20442,32512084.400000006,158710000,2020-01-03 14:59:59
0.20498,0.20676,0.20688,0.2045,57674418.39999998,280500000,2020-01-03 15:59:59
0.20684,0.20696,0.20698,0.2065,35673139.4,172540000,2020-01-03 16:59:59
0.20694,0.20764,0.2078,0.20676,77512404.6,374020000,2020-01-03 17:59:59
0.20764,0.2082,0.20864,0.20764,58141562.79999999,279350000,2020-01-03 18:59:59
0.209,0.209,0.209,0.209,2244660.0,10740000,2020-01-06 09:59:59
0.20902,0.20832,0.20902,0.2067,90807586.19999999,436390000,2020-01-06 10:59:59
0.20832,0.20916,0.2096,0.2082,65647908.00000001,314040000,2020-01-06 11:59:59
0.20924,0.2093,0.2095,0.209,32979705.600000013,157550000,2020-01-06 12:59:59
0.20932,0.21,0.21016,0.20914,131164577.19999999,625230000,2020-01-06 13:59:59
0.20998,0.20972,0.21,0.20942,16431436.8,78330000,2020-01-06 14:59:59
0.2098,0.20886,0.20984,0.20836,43179868.0,206610000,2020-01-06 15:59:59
0.20886,0.20998,0.20998,0.2087,25070008.0,119730000,2020-01-06 16:59:59
0.20998,0.20986,0.21,0.20872,56869686.4,271380000,2020-01-06 17:59:59
0.2098,0.2097,0.2099,0.20892,28334943.6,135230000,2020-01-06 18:59:59
0.20968,0.20968,0.20968,0.20968,88065.59999999999,420000,2020-01-08 09:59:59
0.2095,0.20822,0.20962,0.2061,47027444.4,226190000,2020-01-08 10:59:59
0.20822,0.20864,0.209,0.20772,27818846.200000014,133390000,2020-01-08 11:59:59
0.2086,0.209,0.209,0.20854,22313746.400000013,106810000,2020-01-08 12:59:59
0.20898,0.2088,0.209,0.2087,13621951.200000005,65200000,2020-01-08 13:59:59
0.20882,0.20824,0.209,0.20812,20845969.80000001,99870000,2020-01-08 14:59:59
0.2082,0.20838,0.2086,0.2081,30309289.6,145490000,2020-01-08 15:59:59
0.20838,0.20848,0.2089,0.20824,41635462.39999998,199630000,2020-01-08 16:59:59
0.20848,0.20822,0.2087,0.2081,42455969.199999996,203670000,2020-01-08 17:59:59
0.20824,0.20782,0.2087,0.20782,40994758.00000001,196820000,2020-01-08 18:49:41
0.20808,0.20808,0.20808,0.20808,174787.19999999998,840000,2020-01-09 09:59:59
0.20832,0.20824,0.20878,0.20782,46041748.8,221070000,2020-01-09 10:59:59
