open,close,high,low,value,quantity,end
259.18,259.18,259.18,259.18,41059295.59999996,158420,2020-01-03 09:59:59
259.1,259.36,260.27,258.52,1011142924.5999997,3897800,2020-01-03 10:59:59
259.36,261.75,261.86,259.04,2259576898.0999994,8670090,2020-01-03 11:59:59
261.8,261.5,261.9,260.91,875430979.5000001,3347900,2020-01-03 12:59:59
261.54,261.18,261.82,260.94,575379640.1999999,2201500,2020-01-03 13:59:59
261.2,259.69,261.57,259.43,790341090.8999999,3036390,2020-01-03 14:59:59
259.63,258.73,259.63,258.36,778539932.3999999,3007220,2020-01-03 15:59:59
258.72,258.66,259.08,258.47,516745661.3999999,1997400,2020-01-03 16:59:59
258.66,259.5,259.55,257.77,739304136.1999999,2858420,2020-01-03 17:59:59
259.45,259.0,259.55,258.5,1375329817.8000002,5309570,2020-01-03 18:59:59
259.0,259.0,259.0,259.0,10764040.0,41560,2020-01-06 09:59:59
258.91,256.57,258.96,256.0,1649219955.7,6421480,2020-01-06 10:59:59
256.66,256.16,257.56,256.01,1031235316.1000003,4017600,2020-01-06 11:59:59
256.11,256.05,256.44,255.42,893276759.6999998,3490460,2020-01-06 12:59:59
256.06,255.81,256.23,255.67,286900366.0000001,1121000,2020-01-06 13:59:59
255.87,256.11,256.43,255.55,318298097.9,1243520,2020-01-06 14:59:59
256.15,255.05,256.15,255.01,732569617.4000001,2867200,2020-01-06 15:59:59
255.08,255.2,255.3,254.8,622392780.2000002,2440280,2020-01-06 16:59:59
255.17,255.69,255.99,254.95,647339869.2999998,2536080,2020-01-06 17:59:59
255.71,256.55,256.55,255.67,1017359156.9000001,3969090,2020-01-06 18:59:59
256.25,256.25,256.25,256.25,11303187.5,44110,2020-01-08 09:59:59
256.25,256.2,257.32,254.77,1157343997.2999997,4516330,2020-01-08 10:59:59
256.17,255.51,256.4,255.3,899275527.5000001,3516450,2020-01-08 11:59:59
255.39,255.26,256.08,255.16,841343064.3000004,3293450,2020-01-08 12:59:59
255.26,255.59,256.11,255.18,471080435.40000004,1843590,2020-01-08 13:59:59
255.61,255.1,255.7,255.04,760244488.3999999,2977660,2020-01-08 14:59:59
255.13,255.29,255.73,255.06,363645937.1,1424330,2020-01-08 15:59:59
255.29,255.32,255.6,255.08,458838633.20000017,1797120,2020-01-08 16:59:59
255.32,255.59,255.95,255.17,650648128.9999999,2545830,2020-01-08 17:59:59
255.59,255.79,255.79,255.25,933538127.0999994,3652210,2020-01-08 18:59:59
255.69,255.69,255.69,255.69,7537741.200000002,29480,2020-01-09 09:59:59
255.66,256.2,256.68,255.33,827503538.9000003,3230590,2020-01-09 10:59:59
256.2,254.01,256.2,253.8,1671560557.9000003,6570010,2020-01-09 11:59:59
254.01,254.09,254.14,251.82,1928931315.0999994,7623170,2020-01-09 12:59:59
254.07,253.41,254.34,253.29,527368048.09999985,2076710,2020-01-09 13:59:59
253.45,254.63,254.68,253.39,453856865.8,1786120,2020-01-09 14:59:59
254.63,254.17,254.93,253.94,683198495.1000001,2684250,2020-01-09 15:59:59
254.17,254.27,254.43,253.66,451424651.29999995,1776810,2020-01-09 16:59:59
254.22,254.03,254.73,253.81,879950420.1999998,3462140,2020-01-09 17:59:59
254.04,254.07,254.65,253.81,1013168431.0999997,3985030,2020-01-09 18:59:59
254.0,254.0,254.0,254.0,5643880.0,22220,2020-01-10 09:59:59
253.99,253.39,254.35,252.71,663689052.9000002,2618690,2020-01-10 10:59:59
253.28,253.23,253.72,252.42,703490360.2999998,2780400,2020-01-10 11:59:59
253.19,254.0,254.6,253.01,1093105421.1,4304190,2020-01-10 12:59:59
254.0,253.0,254.0,252.86,447068479.19999987,1764940,2020-01-10 13:59:59
253.02,253.04,253.39,252.72,585528990.3000001,2314150,2020-01-10 14:59:59
253.02,252.8,253.15,252.72,437095991.6000001,1728570,2020-01-10 15:59:59
252.8,252.54,252.84,251.87,1072102158.5000002,4249610,2020-01-10 16:59:59
252.59,251.8,252.65,251.71,909798074.9999999,3610320,2020-01-10 17:59:59
251.76,251.9,252.13,251.2,1302488431.9,5174720,2020-01-10 18:59:59
252.5,252.5,252.5,252.5,4567725.0,18090,2020-01-13 09:59:59
252.5,250.83,252.5,250.77,1126894019.0,4479690,2020-01-13 10:59:59
250.8,249.66,250.94,248.4,2743490952.900001,10987610,2020-01-13 11:59:59
249.66,250.05,250.79,249.35,717998423.4999996,2868920,2020-01-13 12:59:59
250.05,248.78,250.24,248.57,1132816939.0000002,4544190,2020-01-13 13:59:59
248.8,248.62,249.41,248.59,947183272.5999998,3805670,2020-01-13 14:59:59
248.61,249.34,249.96,248.55,559202617.6,2242460,2020-01-13 15:59:59
249.33,249.79,249.98,249.0,573551937.1,2298540,2020-01-13 16:59:59
249.8,250.26,250.44,249.66,949929664.5999995,3798300,2020-01-13 17:59:59
250.26,251.5,251.5,249.93,1583470642.1,6309200,2020-01-13 18:59:59
252.0,252.0,252.0,252.0,17715600.0,70300,2020-01-14 09:59:59
252.0,253.03,253.2,251.22,1182294842.3000002,4682130,2020-01-14 10:59:59
253.03,251.22,253.18,250.56,1160636364.1999998,4611230,2020-01-14 11:59:59
251.21,251.5,251.74,250.91,374775763.6,1489970,2020-01-14 12:59:59
251.47,251.34,251.66,250.86,595943870.3000001,2371350,2020-01-14 13:59:59
251.28,250.79,251.34,250.05,1172231695.8,4674320,2020-01-14 14:59:59
250.8,249.38,250.95,249.13,1165140209.1,4662210,2020-01-14 15:59:59
249.35,249.96,250.1,249.0,784061322.4999998,3143160,2020-01-14 16:59:59
249.98,250.22,250.7,249.72,762584847.9999998,3047570,2020-01-14 17:59:59
250.22,250.0,250.98,249.98,1047196873.5000001,4184710,2020-01-14 18:59:59
249.5,249.5,249.5,249.5,11232490.0,45020,2020-01-15 09:59:59
249.5,249.33,249.87,248.71,642191191.0000002,2577200,2020-01-15 10:59:59
249.24,250.94,251.25,248.33,1678870438.6999996,6716020,2020-01-15 11:59:59
250.9,250.07,251.5,250.0,665798105.6999998,2653990,2020-01-15 12:59:59
250.05,249.29,250.48,249.2,467680262.00000024,1872600,2020-01-15 13:59:59
249.29,249.44,250.43,249.06,551645747.4,2210210,2020-01-15 14:59:59
249.4,249.51,249.95,249.2,255243909.8999999,1022890,2020-01-15 15:59:59
249.48,249.89,251.0,247.75,3023404890.6000004,12137930,2020-01-15 16:59:59
